I, [2018-06-28T09:47:10.237237 #23784]  INFO -- default-amazonlinux: -----> Creating <default-amazonlinux>...
E, [2018-06-28T09:47:10.237421 #23784] ERROR -- default-amazonlinux: Create failed on instance <default-amazonlinux>.
E, [2018-06-28T09:47:10.237491 #23784] ERROR -- default-amazonlinux: ------Exception-------
E, [2018-06-28T09:47:10.237509 #23784] ERROR -- default-amazonlinux: Class: Kitchen::ActionFailed
E, [2018-06-28T09:47:10.237521 #23784] ERROR -- default-amazonlinux: Message: Unknown platform 'amazonlinux'
E, [2018-06-28T09:47:10.237531 #23784] ERROR -- default-amazonlinux: ----------------------
E, [2018-06-28T09:47:10.237541 #23784] ERROR -- default-amazonlinux: ------Backtrace-------
E, [2018-06-28T09:47:10.237551 #23784] ERROR -- default-amazonlinux: /root/.chefdk/gem/ruby/2.5.0/gems/kitchen-docker-2.6.0/lib/kitchen/driver/docker.rb:249:in `build_dockerfile'
E, [2018-06-28T09:47:10.237570 #23784] ERROR -- default-amazonlinux: /root/.chefdk/gem/ruby/2.5.0/gems/kitchen-docker-2.6.0/lib/kitchen/driver/docker.rb:285:in `dockerfile'
E, [2018-06-28T09:47:10.237582 #23784] ERROR -- default-amazonlinux: /root/.chefdk/gem/ruby/2.5.0/gems/kitchen-docker-2.6.0/lib/kitchen/driver/docker.rb:304:in `build_image'
E, [2018-06-28T09:47:10.237593 #23784] ERROR -- default-amazonlinux: /root/.chefdk/gem/ruby/2.5.0/gems/kitchen-docker-2.6.0/lib/kitchen/driver/docker.rb:122:in `create'
E, [2018-06-28T09:47:10.237603 #23784] ERROR -- default-amazonlinux: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/instance.rb:469:in `public_send'
E, [2018-06-28T09:47:10.237614 #23784] ERROR -- default-amazonlinux: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/instance.rb:469:in `block in perform_action'
E, [2018-06-28T09:47:10.237624 #23784] ERROR -- default-amazonlinux: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/instance.rb:536:in `synchronize_or_call'
E, [2018-06-28T09:47:10.237634 #23784] ERROR -- default-amazonlinux: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/instance.rb:498:in `block in action'
E, [2018-06-28T09:47:10.237644 #23784] ERROR -- default-amazonlinux: /opt/chefdk/embedded/lib/ruby/2.5.0/benchmark.rb:293:in `measure'
E, [2018-06-28T09:47:10.237654 #23784] ERROR -- default-amazonlinux: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/instance.rb:497:in `action'
E, [2018-06-28T09:47:10.237665 #23784] ERROR -- default-amazonlinux: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/instance.rb:469:in `perform_action'
E, [2018-06-28T09:47:10.237675 #23784] ERROR -- default-amazonlinux: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/instance.rb:379:in `create_action'
E, [2018-06-28T09:47:10.237685 #23784] ERROR -- default-amazonlinux: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/instance.rb:368:in `block in transition_to'
E, [2018-06-28T09:47:10.237695 #23784] ERROR -- default-amazonlinux: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/instance.rb:367:in `each'
E, [2018-06-28T09:47:10.237705 #23784] ERROR -- default-amazonlinux: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/instance.rb:367:in `transition_to'
E, [2018-06-28T09:47:10.237715 #23784] ERROR -- default-amazonlinux: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/instance.rb:135:in `converge'
E, [2018-06-28T09:47:10.237725 #23784] ERROR -- default-amazonlinux: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/command.rb:197:in `public_send'
E, [2018-06-28T09:47:10.237739 #23784] ERROR -- default-amazonlinux: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/command.rb:197:in `run_action_in_thread'
E, [2018-06-28T09:47:10.237753 #23784] ERROR -- default-amazonlinux: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/command.rb:169:in `block (2 levels) in run_action'
E, [2018-06-28T09:47:10.237769 #23784] ERROR -- default-amazonlinux: ----End Backtrace-----
